A1BG
AASS
AATK
ABAT
ABCA1
ABCA3
ABCB10
ABCB6
ABCB9
ABCC3
ABCC8
ABCD1
ABCF2
ABCG1
ABHD14A
ABHD17A
ABHD17B
ABHD2
ABHD6
ABL1
ABL2
ABT1
ABTB1
ABTB2
ACADVL
ACAN
ACAP2
ACAP3
ACBD5
ACCSL
ACER2
ACKR3
ACLY
ACO2
ACOT7
ACP2
ACSF3
ACSL1
ACSL6
ACSS1
ACTB
ACTG1
ACTL6B
ACTL7B
ACTN1
ACTN2
ACTN4
ACTR1A
ACTR3
ACTR3B
ADAM22
ADAM23
ADAM33
ADAMTS1
ADAMTS13
ADAMTS14
ADAMTS20
ADAMTS4
ADAMTS5
ADAMTS6
ADAMTS7
ADAMTS9
ADAMTSL2
ADAMTSL5
ADARB1
ADARB2
ADAT2
ADCK1
ADCY1
ADCY5
ADCYAP1R1
ADD1
ADD2
ADGRA1
ADGRB1
ADGRB2
ADGRB3
ADGRF1
ADGRG1
ADGRL1
ADGRL3
ADGRV1
ADNP2
ADORA1
ADORA3
ADPGK
ADPRHL2
ADRB1
ADSSL1
AEBP1
AFAP1
AFAP1L2
AFF1
AFF3
AGA
AGAP1
AGAP3
AGBL1-AS1
AGBL5
AGO2
AGO3
AGPAT4
AGT
AGTRAP
AHCYL1
AHCYL2
AHDC1
AHNAK
AIF1L
AJM1
AK1
AK8
AKAP10
AKAP11
AKAP12
AKAP13
AKAP6
AKAP7
AKAP8L
AKIP1
AKIRIN1
AKIRIN2
AKNA
AKNAD1
AKT1S1
ALCAM
ALDH1L1
ALDH1L2
ALDH3A2
ALDH4A1
ALDH8A1
ALDOA
ALDOB
ALDOC
ALG1L2
ALG9
ALK
ALOXE3
ALPK2
ALS2CL
AMDHD2
AMER2
AMFR
AMMECR1L
AMOTL2
AMPH
AMZ1
ANAPC10
ANAPC11
ANGEL1
ANGPT2
ANGPTL2
ANK2
ANKFN1
ANKFY1
ANKH
ANKRD12
ANKRD13A
ANKRD18B
ANKRD2
ANKRD26
ANKRD33B
ANKRD34A
ANKRD36C
ANKRD50
ANKRD52
ANKRD54
ANKRD55
ANKRD6
ANKRD9
ANKS1B
ANKS3
ANKUB1
ANO8
ANO9
ANP32A
ANP32B
ANTXR1
ANXA2
ANXA4
AOAH
AP1B1
AP1G1
AP1G2
AP2S1
AP3B1
AP3D1
APBA3
APBB1
APBB2
APC
APC2
APCDD1
APH1B
APLP2
APMAP
APOC1
APOL1
APOL3
APP
APPL2
APRT
AQP6
AQR
ARAP1
ARAP3
ARF6
ARFGAP2
ARFGEF3
ARHGAP1
ARHGAP12
ARHGAP21
ARHGAP22
ARHGAP26-IT1
ARHGAP31
ARHGAP31-AS1
ARHGAP33
ARHGAP35
ARHGAP39
ARHGAP40
ARHGAP5
ARHGDIA
ARHGEF10L
ARHGEF12
ARHGEF17
ARHGEF2
ARHGEF26
ARHGEF3
ARHGEF37
ARHGEF4
ARHGEF40
ARHGEF6
ARHGEF7
ARHGEF9
ARID1B
ARID2
ARID4A
ARID5A
ARIH1
ARIH2
ARL14EP
ARL2
ARL2BP
ARL4D
ARL6IP6
ARL8A
ARMCX3
ARMCX4
ARPC5L
ARPP21
ARSB
ARVCF
ASAP1
ASAP2
ASAP3
ASB3
ASCC2
ASCL1
ASGR1
ASIC1
ASIC4
ASPG
ASPHD2
ASTN1
ASTN2
ASXL3
ATF1
ATF3
ATF4
ATF7IP
ATG13
ATG16L2
ATG4B
ATG9A
ATL1
ATN1
ATOH8
ATP10A
ATP13A4
ATP13A4-AS1
ATP1A2
ATP1B2
ATP2B1-AS1
ATP2B2
ATP2B4
ATP5J
ATP6AP1L
ATP6V0A2
ATP6V0B
ATP6V0E1
ATP6V0E2-AS1
ATP6V1E1
ATP6V1E2
ATP6V1G1
ATP8A1
ATP8B1
ATP9A
ATP9B
ATPAF2
ATRIP
ATRN
ATRNL1
ATXN1
ATXN10
ATXN1L
ATXN2L
ATXN3
